5  739207.236123  13.60  21.60  27.40  90.70
5  739207.239595  13.50  21.20  27.40  90.90
5  739207.243056  14.10  17.40  27.30  90.90
5  739207.246563  16.30  18.80  27.20  90.70
6  739207.250000  13.60  16.70  27.20  90.70
6  739207.253472  15.10  18.40  27.20  90.70
6  739207.256956  14.90  17.70  27.20  90.70
6  739207.260428  14.00  16.00  27.20  90.90
6  739207.263900  13.20  18.00  27.30  90.40
6  739207.267373  14.60  19.30  27.30  90.60
6  739207.270833  15.10  18.10  27.30  90.80
6  739207.274306  13.90  15.60  27.30  90.90
6  739207.277789  13.00  17.00  27.30  90.90
6  739207.281262  13.40  21.70  27.40  90.50
6  739207.284734  15.00  20.50  27.30  90.60
6  739207.288206  12.30  16.70  27.30  90.50
7  739207.291667  12.10  14.80  27.30  90.90
7  739207.295139  12.40  14.90  27.30  90.70
7  739207.298623  12.10  16.70  27.30  90.30
7  739207.302095  12.20  16.40  27.40  90.30
7  739207.305567  12.40  15.70  27.40  90.20
7  739207.309039  12.80  15.90  27.40  90.20
7  739207.312512  12.30  14.10  27.50  89.90
7  739207.315972  12.10  15.20  27.40  90.20
7  739207.319444  12.10  16.60  27.60  89.80
7  739207.322928  12.30  16.00  27.60  89.60
7  739207.326400  11.30  15.60  27.50  90.10
7  739207.329873  17.10  37.10  27.50  90.00
8  739207.333333  11.50  16.20  27.60  90.00
8  739207.336806   9.30  11.50  27.60  89.40
8  739207.340278  10.80  14.70  27.80  88.60
8  739207.343762  10.30  15.10  28.00  87.90
8  739207.347257  11.40  14.20  27.90  88.60
8  739207.350706   9.20  12.40  27.90  88.50
8  739207.354178   8.90  12.70  28.00  88.60
8  739207.357650   9.10  10.60  28.00  88.20
8  739207.361123   8.80  10.90  28.10  87.90
8  739207.364583   8.00  11.60  28.30  87.20
8  739207.368056   7.20   9.60  28.30  87.10
8  739207.371539   7.00   8.60  28.40  86.70
9  739207.375012   6.30   8.10  28.50  86.10
9  739207.378484   6.60   9.80  28.60  85.50
9  739207.381944   6.40   9.80  28.60  85.00
9  739207.385417   6.40   7.90  28.80  84.80
9  739207.388900   6.80   9.10  28.90  84.60
9  739207.392373   6.30   9.40  29.00  83.80
9  739207.395845   6.60   9.20  29.20  82.20
9  739207.399306   6.10   8.70  29.30  81.40
9  739207.402778   5.90   9.90  29.40  81.30
9  739207.406285   5.60  11.30  29.50  80.30
9  739207.409722   5.80   9.60  29.60  80.10
9  739207.413206   5.00   7.40  29.80  79.70
10  739207.416678   6.90  11.40  29.90  79.40
10  739207.420150   5.00  10.00  30.00  79.70
10  739207.423623   5.80  10.80  30.20  79.10
10  739207.427118   4.10   5.70  30.20  78.70
10  739207.430567   4.10   7.90  30.20  78.70
10  739207.434039   3.70   5.30  30.40  78.50
10  739207.437500   3.40   5.60  30.50  77.70
10  739207.440972   4.00   6.80  30.60  77.30
10  739207.444479   5.00   8.30  30.60  77.10
10  739207.447917   4.50   6.10  30.60  77.10
10  739207.451389   3.90   5.00  30.70  76.60
10  739207.454896   4.30   6.80  30.70  76.30
11  739207.458333   4.30   6.50  30.70  76.30
11  739207.461806   4.30   7.60  30.90  75.50
11  739207.465289   4.20   7.70  30.80  75.80
11  739207.468762   3.60   5.80  31.00  75.20
11  739207.472234   4.60  12.30  30.90  74.90
11  739207.475706   3.30   5.10  31.20  74.30
11  739207.479178   6.30  12.00  31.10  73.80
11  739207.482639   4.20   6.70  30.90  73.70
11  739207.486123   5.50  10.20  30.70  73.80
11  739207.489595   5.00   9.00  30.70  74.20
11  739207.493067   5.40  12.10  30.70  75.10
11  739207.496528   4.70   6.70  30.80  75.30
12  739207.500000   4.80   9.40  30.60  76.00
12  739207.503484   4.90   7.90  30.90  75.30
12  739207.506956   4.20   5.80  31.00  74.00
12  739207.510428   5.90   7.30  31.00  75.10
12  739207.513900   6.60   8.50  30.90  76.50
12  739207.517361   8.00  11.20  31.10  76.40
12  739207.520845   7.10  10.00  31.20  76.00
12  739207.524317   7.50   8.90  31.30  75.60
12  739207.527789   7.10   9.60  31.40  75.30
12  739207.531262   6.80   9.20  31.50  74.90
12  739207.534722   6.80   9.70  31.50  75.10
12  739207.538206   6.70   8.70  31.70  74.30
13  739207.541678   6.30   7.90  31.90  73.70
13  739207.545150   6.40   8.70  31.70  74.40
13  739207.548623   7.00  11.30  31.80  73.80
13  739207.552083   6.50   9.80  31.50  74.80
13  739207.555556   8.30  13.00  31.40  75.70
13  739207.559039   8.50  16.00  31.20  76.50
13  739207.562512   9.20  13.40  30.90  78.00
13  739207.565984   6.40   8.90  30.70  80.60
13  739207.569456   4.50   9.20  30.00  83.80
13  739207.572917   3.80   9.10  29.70  84.40
13  739207.576400   4.20  11.40  28.90  86.60
13  739207.579873   3.00   7.20  28.70  88.50
14  739207.583345   2.70   7.80  28.40  88.70
14  739207.586817   2.50   7.40  28.30  89.20
14  739207.590278   2.40   4.80  28.20  88.40
14  739207.593750   2.00   5.10  27.90  89.60
14  739207.597234   1.90   3.60  27.80  88.90
14  739207.600729   2.10   4.70  28.10  88.70
14  739207.604167   3.40   6.60  28.10  88.60
14  739207.607650   2.70   5.40  28.00  89.60
14  739207.611123   3.00   6.50  28.00  88.30
14  739207.614595   2.20   3.50  27.80  89.30
14  739207.618056   2.20   4.30  27.90  88.90
14  739207.621528   2.50   4.50  28.00  88.80
15  739207.625012   3.20   5.80  28.10  88.80
15  739207.628507   3.40   6.10  28.10  89.70
15  739207.631956   3.40   6.30  28.10  89.70
15  739207.635428   2.90   5.20  28.20  88.70
15  739207.638900   2.80   4.20  28.20  87.50
15  739207.642373   2.30   4.70  28.10  87.20
15  739207.645833   2.00   4.80  28.20  86.50
15  739207.649306   2.00   4.20  28.20  86.90
15  739207.652789   2.20   3.20  28.10  88.60
15  739207.656262   2.60   4.70  28.10  87.30
15  739207.659734   5.10   9.00  28.30  86.00
15  739207.663194   2.40   3.70  28.40  86.00
16  739207.666667   2.10   4.00  28.40  85.50
16  739207.670150   2.70   3.80  28.30  86.30
16  739207.673623   3.50   5.60  28.30  86.70
16  739207.677095   3.10   6.70  28.40  86.70
16  739207.680567   3.00   5.80  28.40  86.90
16  739207.684028   3.90   7.50  28.50  86.60
16  739207.687512   2.70   3.90  28.20  87.60
16  739207.690984   3.20   7.40  28.50  86.80
16  739207.694456   3.90   8.40  28.40  87.10
16  739207.697928   3.80   7.40  28.40  87.70
16  739207.701389   4.90   8.30  28.50  87.60
16  739207.704861   3.70   7.50  28.60  87.00
17  739207.711817   3.40   4.90  28.50  87.10
17  739207.715289   3.50   7.20  28.60  86.90
17  739207.718762   4.00   6.00  28.60  86.60
17  739207.722222   3.60   6.60  28.60  86.20
17  739207.725694   3.80   6.20  28.50  86.50
17  739207.729178   4.70   7.60  28.50  87.20
17  739207.732674   4.90   8.80  28.50  86.60
17  739207.736111   5.50   9.40  28.50  86.60
17  739207.739595   4.60   7.80  28.20  88.60
17  739207.743067   4.60   6.70  28.20  88.40
17  739207.746539   4.60   7.50  28.40  87.30
18  739207.750012   4.20   6.60  28.50  87.20
18  739207.753519   3.70   6.60  28.20  87.60
18  739207.756956   4.00   6.50  28.20  87.70
