,PC1,PC2,PC3,PC4
PM2.5,0.44478405779397334,0.5671562388473415,-0.559705690569392,0.4089382381400701
PM10,0.5196714516185236,0.46690674974209556,0.5738540458389898,-0.42735372174837916
Temp/K,-0.5132600916274432,0.48177397257822374,0.4696194916839707,0.5328371709249218
Humidity,0.5183365727474882,-0.4777297637032952,0.36997108947720686,0.6051635011923884
